,real,predicted
159,192.899994,175.69667
160,194.399994,177.07838
161,181.0,178.80339
162,180.100006,180.55473
163,178.0,182.05438
164,180.800003,183.11417
165,180.649994,183.6955
166,184.300003,183.8477
167,184.850006,183.7049
168,185.0,183.4113
169,184.449997,183.08263
170,182.300003,182.78793
171,181.300003,182.53621
172,177.0,182.30562
173,173.5,182.02623
174,173.699997,181.60867
175,177.800003,181.0098
176,173.75,180.28268
177,168.949997,179.46088
178,162.600006,178.52579
179,160.550003,177.4024
180,155.199997,176.03474
181,159.899994,174.36978
182,166.699997,172.47156
183,166.800003,170.5289
184,167.399994,168.72356
185,174.0,167.18654
186,176.0,166.05583
187,173.600006,165.42078
188,177.300003,165.26187
189,176.5,165.53731
190,172.0,166.16156
191,173.0,166.97778
192,169.899994,167.84929
193,172.600006,168.6424
194,173.699997,169.2993
195,171.0,169.81929
196,169.300003,170.19316
197,168.100006,170.40341
198,173.0,170.43591
199,176.300003,170.35309
200,181.899994,170.26375
201,183.649994,170.31517
202,186.300003,170.61967
203,180.550003,171.24501
204,183.199997,172.12231
205,185.5,173.16852
206,186.300003,174.3241
207,185.5,175.54222
208,183.300003,176.76707
209,181.399994,177.92093
210,182.0,178.91982
211,179.699997,179.71768
212,176.300003,180.27805
213,174.300003,180.5574
214,171.600006,180.52658
215,174.5,180.16928
216,175.300003,179.54535
217,182.0,178.75371
218,181.0,177.96846
219,180.0,177.31921
220,177.0,176.86288
221,179.449997,176.57153
222,164.649994,176.42064
223,150.5,176.21748
224,153.600006,175.64377
225,155.800003,174.53644
226,160.0,172.9145
227,162.300003,170.94827
228,164.800003,168.86618
229,165.0,166.89355
230,166.0,165.19078
231,170.0,163.85098
232,175.449997,162.94328
233,173.550003,162.53745
234,183.350006,162.61638
235,179.149994,163.2104
236,179.199997,164.25032
237,183.949997,165.61292
238,195.25,167.21199
239,191.899994,169.08871
240,188.300003,171.21791
241,181.649994,173.47813
242,184.0,175.65233
243,184.75,177.58508
244,181.0,179.20024
245,180.0,180.43748
246,180.550003,181.27235
247,182.0,181.7326
248,183.399994,181.89597
249,180.25,181.86757
250,174.399994,181.70575
251,171.699997,181.3853
252,174.0,180.85703
253,169.699997,180.13382
254,176.0,179.21796
255,188.75,178.207
256,205.300003,177.3516
257,202.350006,177.03676
258,208.0,177.46962
259,206.5,178.73123
260,200.399994,180.73332
261,206.399994,183.21269
262,216.600006,185.94923
263,219.0,188.87299
264,216.0,191.95319
265,234.550003,195.0953
266,232.0,198.39737
267,235.899994,201.88792
268,235.199997,205.55675
269,233.0,209.31944
270,224.25,213.02391
271,222.0,216.41342
272,215.550003,219.26102
273,212.899994,221.37068
274,204.899994,222.63986
275,205.0,222.99878
276,201.699997,222.4962
277,190.5,221.24294
278,183.600006,219.28381
279,188.0,216.64383
280,186.399994,213.47957
281,178.5,209.99144
282,185.949997,206.30144
283,175.050003,202.61429
284,175.25,199.00134
285,182.0,195.51212
286,186.600006,192.27588
287,177.300003,189.46056
288,183.75,187.07303
289,178.0,185.1366
290,182.050003,183.58466
291,181.699997,182.37805
292,180.399994,181.47488
293,176.649994,180.81413
294,176.5,180.2935
295,170.0,179.82663
296,174.0,179.28818
297,174.100006,178.64417
298,170.5,177.91315
299,170.5,177.09654
300,167.899994,176.20792
301,171.0,175.24652
302,166.0,174.26018
303,167.399994,173.24959
304,164.050003,172.23245
305,159.0,171.19887
306,159.600006,170.09232
307,153.0,168.88957
308,154.899994,167.53302
309,159.300003,166.0264
310,158.399994,164.4663
311,160.399994,162.9516
312,162.0,161.58202
313,165.649994,160.44215
314,163.75,159.61499
315,167.0,159.11378
316,163.699997,158.94054
317,162.699997,159.02863
318,165.850006,159.2805
319,159.600006,159.64122
320,154.0,160.00237
321,156.050003,160.2134
322,153.350006,160.19937
323,156.399994,159.92166
324,159.5,159.42545
325,160.199997,158.82126
326,170.0,158.22263
327,167.699997,157.81879
328,162.0,157.71458
329,155.050003,157.86736
330,157.050003,158.10876
331,156.600006,158.30754
332,151.699997,158.38403
333,138.149994,158.256
334,148.5,157.74075
335,138.399994,156.84802
336,134.449997,155.56769
337,135.800003,153.89499
338,128.899994,151.89691
339,127.949997,149.61267
340,122.349998,147.10143
341,122.550003,144.39456
342,117.650002,141.55438
343,124.650002,138.61989
344,124.0,135.72429
345,122.300003,133.00005
346,120.0,130.5292
347,121.5,128.3312
348,119.949997,126.416595
349,123.5,124.76822
350,112.199997,123.398094
351,109.5,122.19158
352,115.650002,121.008705
353,112.300003,119.82556
354,120.75,118.6343
355,116.349998,117.53569
356,115.0,116.58197
357,111.650002,115.77693
358,112.199997,115.069916
359,110.0,114.41724
360,118.599998,113.770744
361,119.400002,113.193886
362,124.5,112.76673
363,134.550003,112.59124
364,129.300003,112.82673
