Date,Open,High,Low,Close,Adj Close,Volume
2018-06-12,310.0,313.5,307.100006,308.0,308.0,497309
2018-06-13,308.200012,311.0,307.0,308.149994,308.149994,519926
2018-06-14,308.450012,309.700012,303.899994,305.75,305.75,464091
2018-06-15,306.0,307.75,300.75,303.200012,303.200012,470004
2018-06-18,303.549988,310.799988,302.049988,308.75,308.75,681093
2018-06-19,309.0,312.649994,303.450012,304.649994,304.649994,834498
2018-06-20,304.700012,308.299988,304.0,305.600006,305.600006,427023
2018-06-21,306.200012,308.549988,305.549988,306.549988,306.549988,299929
2018-06-22,308.450012,308.899994,303.200012,308.149994,308.149994,400433
2018-06-25,308.149994,308.149994,288.0,289.850006,289.850006,1375019
2018-06-26,289.700012,289.700012,275.399994,277.350006,277.350006,2005780
2018-06-27,279.0,279.5,270.100006,271.200012,271.200012,1308895
2018-06-28,271.200012,272.450012,262.5,263.899994,263.899994,1266377
2018-06-29,265.0,270.5,263.0,269.299988,269.299988,1674053
2018-07-02,276.0,277.0,266.100006,267.25,267.25,1208787
2018-07-03,268.100006,272.0,267.549988,269.5,269.5,1812909
2018-07-04,269.600006,271.399994,265.799988,267.0,267.0,776527
2018-07-05,264.0,264.0,252.55000299999998,261.5,261.5,1464421
2018-07-06,261.600006,273.0,261.600006,271.149994,271.149994,1277833
2018-07-09,273.5,276.899994,272.399994,273.350006,273.350006,767978
2018-07-10,276.799988,276.899994,273.200012,275.399994,275.399994,464022
2018-07-11,277.0,277.100006,267.200012,267.850006,267.850006,701287
2018-07-12,269.950012,271.899994,265.5,266.5,266.5,714458
2018-07-13,267.799988,269.299988,263.299988,264.149994,264.149994,636806
2018-07-16,261.149994,261.799988,250.75,251.55000299999998,251.55000299999998,1599394
2018-07-17,254.399994,259.0,252.30000299999998,257.600006,257.600006,1429516
2018-07-18,259.899994,259.899994,247.55000299999998,251.94999700000002,251.94999700000002,803100
2018-07-19,253.80000299999998,257.75,251.350006,252.44999700000002,252.44999700000002,638977
2018-07-20,252.44999700000002,254.0,251.19999700000002,253.399994,253.399994,410202
2018-07-23,255.30000299999998,259.299988,251.350006,258.25,258.25,559578
2018-07-24,259.299988,263.75,257.700012,259.200012,259.200012,688105
2018-07-25,259.5,261.75,256.100006,257.299988,257.299988,557669
2018-07-26,258.149994,262.950012,257.5,258.5,258.5,1161859
2018-07-27,259.649994,269.100006,258.649994,267.700012,267.700012,1121941
2018-07-30,269.350006,271.700012,266.25,267.299988,267.299988,589717
2018-07-31,268.600006,270.5,262.5,264.149994,264.149994,764757
2018-08-01,248.0,267.299988,248.0,264.950012,264.950012,3249106
2018-08-02,264.5,266.100006,258.899994,260.950012,260.950012,1001648
2018-08-03,262.600006,263.799988,257.700012,258.75,258.75,743398
2018-08-06,260.950012,261.850006,253.149994,254.69999700000002,254.69999700000002,842806
2018-08-07,255.0,255.94999700000002,251.0,251.850006,251.850006,1220335
2018-08-08,253.05000299999998,258.399994,252.100006,255.0,255.0,879631
2018-08-09,257.0,260.5,255.0,257.5,257.5,586850
2018-08-10,261.350006,261.350006,249.899994,250.25,250.25,953312
2018-08-13,249.55000299999998,249.55000299999998,243.25,248.55000299999998,248.55000299999998,1566376
2018-08-14,248.69999700000002,249.899994,247.5,248.69999700000002,248.69999700000002,477144
2018-08-16,247.5,252.75,245.0,251.149994,251.149994,687994
2018-08-17,253.600006,258.950012,253.399994,257.350006,257.350006,706164
